districtid,timeid,cases
AP_Foreign Evacuees,1.0,0.0
AP_Foreign Evacuees,2.0,0.0
AP_Foreign Evacuees,3.0,111.0
AP_Foreign Evacuees,4.0,297.0
AP_Foreign Evacuees,5.0,302.0
AP_Foreign Evacuees,6.0,0.0
AP_Foreign Evacuees,7.0,0.0
AP_Foreign Evacuees,8.0,0.0
AP_Foreign Evacuees,9.0,0.0
AP_Foreign Evacuees,10.0,0.0
AP_Foreign Evacuees,11.0,0.0
AP_Foreign Evacuees,12.0,0.0
AP_Foreign Evacuees,13.0,0.0
AP_Foreign Evacuees,14.0,0.0
AP_Foreign Evacuees,15.0,0.0
AP_Foreign Evacuees,16.0,0.0
AP_Foreign Evacuees,17.0,0.0
AP_Foreign Evacuees,18.0,0.0
AP_Anantapur,1.0,0.0
AP_Anantapur,2.0,37.0
AP_Anantapur,3.0,101.0
AP_Anantapur,4.0,850.0
AP_Anantapur,5.0,8427.0
AP_Anantapur,6.0,8822.0
AP_Anantapur,7.0,6175.0
AP_Anantapur,8.0,1932.0
AP_Anantapur,9.0,1255.0
AP_Anantapur,10.0,238.0
AP_Anantapur,11.0,143.0
AP_Anantapur,12.0,42.0
AP_Anantapur,13.0,325.0
AP_Anantapur,14.0,9165.0
AP_Anantapur,15.0,17524.0
AP_Anantapur,16.0,4104.0
AP_Anantapur,17.0,652.0
AP_Anantapur,18.0,354.0
AP_Chittoor,1.0,0.0
AP_Chittoor,2.0,64.0
AP_Chittoor,3.0,110.0
AP_Chittoor,4.0,679.0
AP_Chittoor,5.0,4833.0
AP_Chittoor,6.0,9999.0
AP_Chittoor,7.0,9394.0
AP_Chittoor,8.0,6610.0
AP_Chittoor,9.0,2455.0
AP_Chittoor,10.0,584.0
AP_Chittoor,11.0,320.0
AP_Chittoor,12.0,167.0
AP_Chittoor,13.0,1333.0
AP_Chittoor,14.0,16853.0
AP_Chittoor,15.0,24664.0
AP_Chittoor,16.0,17706.0
AP_Chittoor,17.0,5858.0
AP_Chittoor,18.0,3256.0
AP_East Godavari,1.0,0.0
AP_East Godavari,2.0,28.0
AP_East Godavari,3.0,152.0
AP_East Godavari,4.0,781.0
AP_East Godavari,5.0,13662.0
AP_East Godavari,6.0,18769.0
AP_East Godavari,7.0,19114.0
AP_East Godavari,8.0,9380.0
AP_East Godavari,9.0,5306.0
AP_East Godavari,10.0,1098.0
AP_East Godavari,11.0,381.0
