timeid,districtid,cases
2021-08-14,Unknown,2
2021-08-14,Anantapur,234
2021-08-14,Chittoor,2550
2021-08-14,East Godavari,3122
2021-08-14,Foreign Evacuees,0
2021-08-14,Guntur,1553
2021-08-14,Krishna,2942
2021-08-14,Kurnool,127
2021-08-14,Other State,0
2021-08-14,Prakasam,1270
2021-08-14,S.P.S. Nellore,2644
2021-08-14,Srikakulam,571
2021-08-14,Visakhapatnam,648
2021-08-14,Vizianagaram,212
2021-08-14,West Godavari,1736
2021-08-14,Y.S.R. Kadapa,601
2021-08-14,Anjaw,28
2021-08-14,Capital Complex,0
2021-08-14,Changlang,88
2021-08-14,East Kameng,30
2021-08-14,East Siang,85
2021-08-14,Kamle,62
2021-08-14,Kra Daadi,7
2021-08-14,Kurung Kumey,1
2021-08-14,Lepa Rada,59
2021-08-14,Lohit,132
2021-08-14,Longding,12
2021-08-14,Lower Dibang Valley,70
2021-08-14,Lower Siang,34
2021-08-14,Lower Subansiri,260
2021-08-14,Namsai,40
2021-08-14,Pakke Kessang,12
2021-08-14,Papum Pare,728
2021-08-14,Shi Yomi,21
2021-08-14,Siang,14
2021-08-14,Tawang,94
2021-08-14,Tirap,9
2021-08-14,Upper Dibang Valley,23
2021-08-14,Upper Siang,68
2021-08-14,Upper Subansiri,59
2021-08-14,West Kameng,148
2021-08-14,West Siang,43
2021-08-14,Dibrugarh,0
2021-08-14,Udalguri,0
2021-08-14,Unknown,9776
2021-08-14,Araria,8
2021-08-14,Arwal,8
2021-08-14,Aurangabad,1
2021-08-14,Banka,1
2021-08-14,Begusarai,8
2021-08-14,Bhagalpur,7
2021-08-14,Bhojpur,1
2021-08-14,Buxar,0
2021-08-14,Darbhanga,23
2021-08-14,East Champaran,7
2021-08-14,Gaya,6
2021-08-14,Gopalganj,1
2021-08-14,Jamui,5
2021-08-14,Jehanabad,2
2021-08-14,Kaimur,0
2021-08-14,Katihar,13
2021-08-14,Khagaria,2
2021-08-14,Kishanganj,16
2021-08-14,Lakhisarai,6
