districtid,timeid,cases
AP_Foreign Evacuees,1.0,0.0
AP_Foreign Evacuees,2.0,0.0
AP_Foreign Evacuees,3.0,0.0
AP_Foreign Evacuees,4.0,0.0
AP_Foreign Evacuees,5.0,0.0
AP_Foreign Evacuees,6.0,0.0
AP_Foreign Evacuees,7.0,0.0
AP_Foreign Evacuees,8.0,
AP_Foreign Evacuees,9.0,
AP_Foreign Evacuees,10.0,
AP_Foreign Evacuees,11.0,21.0
AP_Foreign Evacuees,12.0,111.0
AP_Foreign Evacuees,13.0,127.0
AP_Foreign Evacuees,14.0,181.0
AP_Foreign Evacuees,15.0,278.0
AP_Foreign Evacuees,16.0,297.0
AP_Foreign Evacuees,17.0,302.0
AP_Foreign Evacuees,18.0,184.0
AP_Foreign Evacuees,19.0,109.0
AP_Foreign Evacuees,20.0,44.0
AP_Foreign Evacuees,21.0,2.0
AP_Foreign Evacuees,22.0,0.0
AP_Foreign Evacuees,23.0,0.0
AP_Foreign Evacuees,24.0,0.0
AP_Foreign Evacuees,25.0,0.0
AP_Foreign Evacuees,26.0,0.0
AP_Foreign Evacuees,27.0,0.0
AP_Foreign Evacuees,28.0,0.0
AP_Foreign Evacuees,29.0,0.0
AP_Foreign Evacuees,30.0,0.0
AP_Foreign Evacuees,31.0,0.0
AP_Foreign Evacuees,32.0,0.0
AP_Foreign Evacuees,33.0,0.0
AP_Foreign Evacuees,34.0,0.0
AP_Foreign Evacuees,35.0,0.0
AP_Foreign Evacuees,36.0,0.0
AP_Foreign Evacuees,37.0,0.0
AP_Foreign Evacuees,38.0,0.0
AP_Foreign Evacuees,39.0,0.0
AP_Foreign Evacuees,40.0,0.0
AP_Foreign Evacuees,41.0,0.0
AP_Foreign Evacuees,42.0,0.0
AP_Foreign Evacuees,43.0,0.0
AP_Foreign Evacuees,44.0,0.0
AP_Foreign Evacuees,45.0,0.0
AP_Foreign Evacuees,46.0,0.0
AP_Foreign Evacuees,47.0,0.0
AP_Foreign Evacuees,48.0,0.0
AP_Foreign Evacuees,49.0,0.0
AP_Foreign Evacuees,50.0,0.0
AP_Foreign Evacuees,51.0,0.0
AP_Foreign Evacuees,52.0,0.0
AP_Foreign Evacuees,53.0,0.0
AP_Foreign Evacuees,54.0,0.0
AP_Foreign Evacuees,55.0,0.0
AP_Foreign Evacuees,56.0,0.0
AP_Foreign Evacuees,57.0,0.0
AP_Foreign Evacuees,58.0,0.0
