districtid,wave1 − weekid,wave2 − weekid,wave1-monthid,wave2-monthid
HP_Kinnaur,70,126,9,15
HP_Kullu,70,122,9,15
HP_Chamba,74,122,9,15
HP_Kangra,74,120,9,15
LA_Leh,70,114,9,14
LA_Kargil,26,122,4,15
JK_Kishtwar,52,122,7,15
HP_Shimla,74,122,9,15
UT_Uttarkashi,58,122,8,15
HP_Mandi,70,122,9,15
JK_Kathua,54,120,7,15
PB_Pathankot,50,120,7,15
JK_Doda,54,122,7,15
HP_Una,54,122,7,15
PB_Gurdaspur,52,120,7,15
PB_Hoshiarpur,52,122,7,15
PB_Rupnagar,52,120,7,15
HP_Solan,54,122,7,15
HP_Sirmaur,54,118,7,15
HR_Panchkula,50,120,7,15
UT_Dehradun,54,120,7,15
HR_Ambala,52,120,7,15
UP_Saharanpur,50,120,7,15
HR_Yamunanagar,46,120,6,15
UT_Chamoli,62,124,8,15
UT_Rudraprayag,68,122,9,15
UT_Tehri Garhwal,58,122,8,15
UT_Pithoragarh,52,126,7,15
UT_Bageshwar,54,124,7,15
UT_Almora,56,120,7,15
UT_Pauri Garhwal,68,120,9,15
UT_Champawat,58,120,7,15
UT_Nainital,54,120,7,15
UT_Udham Singh Nagar,54,120,7,15
UP_Bijnor,56,120,7,15
UP_Bareilly,40,118,5,14
UP_Moradabad,54,118,7,14
UP_Rampur,48,118,6,15
UP_Pilibhit,54,120,7,15
UT_Haridwar,54,122,7,15
UP_Muzaffarnagar,54,120,7,15
TN_Coimbatore,56,126,7,15
TN_Erode,56,126,7,15
KL_Malappuram,60,122,8,15
KL_Wayanad,74,120,9,15
WB_Jalpaiguri,62,126,8,15
WB_Darjeeling,64,126,8,15
WB_Alipurduar,48,128,6,16
WB_Kalimpong,44,126,6,15
BR_Madhubani,46,118,6,14
BR_Saharsa,44,120,6,15
BR_Darbhanga,44,124,6,15
BR_Supaul,54,120,7,15
BR_Sitamarhi,44,120,6,15
BR_Madhepura,44,118,6,14
BR_Khagaria,40,118,6,15
BR_Samastipur,42,122,6,15
BR_Muzaffarpur,40,120,6,15
BR_Araria,44,122,6,15
BR_Sheohar,50,120,7,15
BR_Gopalganj,52,122,7,15
JK_Anantnag,28,120,4,15
JK_Bandipora,52,124,7,15
JK_Ganderbal,54,126,7,15
WB_Dakshin Dinajpur,46,120,6,15
WB_Uttar Dinajpur,44,120,6,15
BR_Kishanganj,50,120,7,15
BR_Purnia,44,118,6,14
BR_Katihar,44,122,6,15
AS_Udalguri,1,76,1,10
ML_West Khasi Hills,62,144,8,17
ML_North Garo Hills,56,136,7,17
WB_Murshidabad,44,116,6,14
JH_Sahibganj,50,116,6,14
BR_Bhagalpur,44,116,6,14
RJ_Barmer,46,122,6,15
RJ_Jodhpur,74,120,9,15
RJ_Pali,42,116,6,14
RJ_Jaisalmer,54,122,7,15
GJ_Kutch,56,122,7,15
RJ_Sirohi,72,116,9,14
RJ_Bikaner,62,118,8,15
RJ_Nagaur,74,122,9,15
RJ_Ajmer,74,118,9,14
RJ_Rajsamand,44,118,6,14
RJ_Udaipur,72,122,9,15
UP_Unnao,52,118,7,14
UP_Hardoi,54,118,7,14
UP_Lucknow,54,114,7,14
UP_Kanpur Nagar,52,118,7,14
UP_Fatehpur,62,116,8,14
TN_Kanyakumari,38,124,5,15
KL_Thiruvananthapuram,60,122,8,15
TN_Virudhunagar,40,124,5,15
KL_Idukki,72,120,9,15
KL_Kollam,60,122,8,15
TN_Pudukkottai,48,124,6,15
TN_Thanjavur,58,124,7,15
TN_Ramanathapuram,32,122,5,15
TN_Madurai,36,126,5,15
TN_Theni,44,124,6,15
TN_Dindigul,42,124,6,15
TN_Karur,56,126,7,15
TN_Tiruppur,56,126,7,15
KL_Ernakulam,66,120,8,15
KL_Kottayam,74,118,9,14
KL_Thrissur,60,118,8,14
TN_Namakkal,58,124,8,15
TN_Salem,50,126,6,15
TN_Dharmapuri,56,126,7,15
TN_Perambalur,42,124,6,15
TN_Kallakurichi,34,122,5,15
TN_Ariyalur,16,124,3,15
TN_Krishnagiri,52,122,7,15
TN_Cuddalore,50,124,7,15
TN_Nagapattinam,52,126,7,15
TN_Viluppuram,50,126,7,15
PY_Puducherry,56,122,7,15
TN_Thiruvallur,36,124,5,15
TN_Vellore,44,122,6,15
TN_Chennai,32,122,4,15
PY_Karaikal,56,122,7,15
TN_Thiruvarur,52,126,7,15
AP_Chittoor,44,124,6,15
UP_Gautam Buddha Nagar,68,120,9,15
UP_Ghaziabad,52,118,7,14
HR_Sonipat,54,120,7,15
UP_Baghpat,34,118,5,15
HR_Jhajjar,52,122,7,15
HR_Gurugram,68,118,9,14
HR_Faridabad,72,120,9,15
