districtid,timeid,dose1,dose2
AN_Nicobars,1,0.0,0.0
AN_Nicobars,54,626.0,85.0
AN_Nicobars,53,395.0,7.0
AN_Nicobars,52,99.0,54.0
AN_Nicobars,51,81.0,6.0
AN_Nicobars,50,171.0,204.0
AN_Nicobars,49,36.0,40.0
AN_Nicobars,48,17.0,0.0
AN_Nicobars,47,59.0,0.0
AN_Nicobars,46,78.0,0.0
AN_Nicobars,45,206.0,0.0
AN_Nicobars,44,0.0,0.0
AN_Nicobars,43,0.0,0.0
AN_Nicobars,42,0.0,0.0
AN_Nicobars,41,0.0,0.0
AN_Nicobars,40,0.0,0.0
AN_Nicobars,55,457.0,14.0
AN_Nicobars,39,0.0,0.0
AN_Nicobars,57,2604.0,48.0
AN_Nicobars,59,356.0,227.0
AN_Nicobars,74,163.0,113.0
AN_Nicobars,73,465.0,85.0
AN_Nicobars,72,1048.0,286.0
AN_Nicobars,71,1636.0,653.0
AN_Nicobars,70,2646.0,1131.0
AN_Nicobars,69,433.0,2375.0
AN_Nicobars,68,2059.0,1509.0
AN_Nicobars,67,3719.0,51.0
AN_Nicobars,66,1193.0,1.0
AN_Nicobars,65,70.0,0.0
AN_Nicobars,64,10.0,1.0
AN_Nicobars,63,161.0,0.0
AN_Nicobars,62,119.0,0.0
AN_Nicobars,61,39.0,261.0
AN_Nicobars,60,161.0,751.0
AN_Nicobars,58,1292.0,123.0
AN_Nicobars,38,0.0,0.0
AN_Nicobars,56,1682.0,85.0
AN_Nicobars,36,0.0,0.0
AN_Nicobars,16,0.0,0.0
AN_Nicobars,15,0.0,0.0
AN_Nicobars,14,0.0,0.0
AN_Nicobars,13,0.0,0.0
AN_Nicobars,12,0.0,0.0
AN_Nicobars,10,0.0,0.0
AN_Nicobars,9,0.0,0.0
AN_Nicobars,8,0.0,0.0
AN_Nicobars,7,0.0,0.0
AN_Nicobars,6,0.0,0.0
AN_Nicobars,5,0.0,0.0
AN_Nicobars,4,0.0,0.0
AN_Nicobars,3,0.0,0.0
AN_Nicobars,2,0.0,0.0
AN_Nicobars,37,0.0,0.0
AN_Nicobars,17,0.0,0.0
AN_Nicobars,18,0.0,0.0
AN_Nicobars,11,0.0,0.0
AN_Nicobars,34,0.0,0.0
AN_Nicobars,35,0.0,0.0
AN_Nicobars,19,0.0,0.0
AN_Nicobars,33,0.0,0.0
AN_Nicobars,32,0.0,0.0
AN_Nicobars,31,0.0,0.0
AN_Nicobars,30,0.0,0.0
AN_Nicobars,28,0.0,0.0
AN_Nicobars,27,0.0,0.0
AN_Nicobars,29,0.0,0.0
AN_Nicobars,25,0.0,0.0
AN_Nicobars,24,0.0,0.0
AN_Nicobars,23,0.0,0.0
AN_Nicobars,22,0.0,0.0
AN_Nicobars,21,0.0,0.0
AN_Nicobars,20,0.0,0.0
AN_Nicobars,26,0.0,0.0
AN_North and Middle Andaman,54,329.0,124.0
AN_North and Middle Andaman,49,43.0,367.0
AN_North and Middle Andaman,53,499.0,33.0
AN_North and Middle Andaman,52,190.0,50.0
AN_North and Middle Andaman,51,391.0,42.0
AN_North and Middle Andaman,50,280.0,483.0
AN_North and Middle Andaman,48,1.0,0.0
AN_North and Middle Andaman,40,0.0,0.0
AN_North and Middle Andaman,46,599.0,0.0
AN_North and Middle Andaman,45,390.0,0.0
AN_North and Middle Andaman,44,0.0,0.0
AN_North and Middle Andaman,43,0.0,0.0
AN_North and Middle Andaman,42,0.0,0.0
AN_North and Middle Andaman,41,0.0,0.0
AN_North and Middle Andaman,55,982.0,72.0
AN_North and Middle Andaman,47,123.0,0.0
AN_North and Middle Andaman,56,3277.0,148.0
AN_North and Middle Andaman,74,4651.0,699.0
AN_North and Middle Andaman,58,5847.0,330.0
AN_North and Middle Andaman,39,0.0,0.0
AN_North and Middle Andaman,73,279.0,360.0
AN_North and Middle Andaman,72,6386.0,823.0
AN_North and Middle Andaman,71,5142.0,1787.0
AN_North and Middle Andaman,70,4895.0,6202.0
AN_North and Middle Andaman,69,1452.0,13236.0
AN_North and Middle Andaman,68,5541.0,2730.0
AN_North and Middle Andaman,57,15367.0,318.0
AN_North and Middle Andaman,67,5036.0,152.0
AN_North and Middle Andaman,65,901.0,2.0
AN_North and Middle Andaman,64,357.0,7.0
AN_North and Middle Andaman,63,1089.0,2.0
AN_North and Middle Andaman,62,935.0,12.0
AN_North and Middle Andaman,61,260.0,411.0
AN_North and Middle Andaman,60,276.0,510.0
AN_North and Middle Andaman,59,1196.0,380.0
AN_North and Middle Andaman,66,1329.0,1.0
AN_North and Middle Andaman,38,0.0,0.0
AN_North and Middle Andaman,18,0.0,0.0
AN_North and Middle Andaman,36,0.0,0.0
AN_North and Middle Andaman,15,0.0,0.0
AN_North and Middle Andaman,14,0.0,0.0
AN_North and Middle Andaman,13,0.0,0.0
AN_North and Middle Andaman,12,0.0,0.0
AN_North and Middle Andaman,11,0.0,0.0
AN_North and Middle Andaman,10,0.0,0.0
AN_North and Middle Andaman,9,0.0,0.0
AN_North and Middle Andaman,8,0.0,0.0
AN_North and Middle Andaman,7,0.0,0.0
AN_North and Middle Andaman,6,0.0,0.0
AN_North and Middle Andaman,5,0.0,0.0
AN_North and Middle Andaman,4,0.0,0.0
AN_North and Middle Andaman,3,0.0,0.0
AN_North and Middle Andaman,2,0.0,0.0
AN_North and Middle Andaman,37,0.0,0.0
AN_North and Middle Andaman,16,0.0,0.0
AN_North and Middle Andaman,17,0.0,0.0
AN_North and Middle Andaman,1,0.0,0.0
AN_North and Middle Andaman,19,0.0,0.0
AN_North and Middle Andaman,34,0.0,0.0
AN_North and Middle Andaman,33,0.0,0.0
AN_North and Middle Andaman,32,0.0,0.0
AN_North and Middle Andaman,31,0.0,0.0
AN_North and Middle Andaman,30,0.0,0.0
AN_North and Middle Andaman,29,0.0,0.0
AN_North and Middle Andaman,28,0.0,0.0
AN_North and Middle Andaman,35,0.0,0.0
AN_North and Middle Andaman,26,0.0,0.0
AN_North and Middle Andaman,25,0.0,0.0
AN_North and Middle Andaman,24,0.0,0.0
AN_North and Middle Andaman,23,0.0,0.0
AN_North and Middle Andaman,22,0.0,0.0
AN_North and Middle Andaman,21,0.0,0.0
AN_North and Middle Andaman,20,0.0,0.0
