Stateid,timeid,dose1,dose2
AN,1,0.0,0.0
AN,2,0.0,0.0
AN,3,0.0,0.0
AN,4,0.0,0.0
AN,5,0.0,0.0
AN,6,0.0,0.0
AN,7,0.0,0.0
AN,8,0.0,0.0
AN,9,0.0,0.0
AN,10,0.0,0.0
AN,11,0.0,0.0
AN,12,0.0,0.0
AN,13,0.0,0.0
AN,14,0.0,0.0
AN,15,0.0,0.0
AN,16,0.0,0.0
AN,17,0.0,0.0
AN,18,0.0,0.0
AN,19,0.0,0.0
AN,20,0.0,0.0
AN,21,0.0,0.0
AN,22,0.0,0.0
AN,23,0.0,0.0
AN,24,0.0,0.0
AN,25,0.0,0.0
AN,26,0.0,0.0
AN,27,0.0,0.0
AN,28,0.0,0.0
AN,29,0.0,0.0
AN,30,0.0,0.0
AN,31,0.0,0.0
AN,32,0.0,0.0
AN,33,0.0,0.0
AN,34,0.0,0.0
AN,35,0.0,0.0
AN,36,0.0,0.0
AN,37,0.0,0.0
AN,38,0.0,0.0
AN,39,0.0,0.0
AN,40,0.0,0.0
AN,41,0.0,0.0
AN,42,0.0,0.0
AN,43,0.0,0.0
AN,44,23.0,0.0
AN,45,897.0,0.0
AN,46,1140.0,0.0
AN,47,720.0,0.0
AN,48,260.0,0.0
AN,49,1667.0,946.0
AN,50,1322.0,1014.0
AN,51,2259.0,250.0
AN,52,3105.0,530.0
AN,53,1856.0,871.0
AN,54,1956.0,1469.0
AN,55,2793.0,143.0
AN,56,11865.0,347.0
AN,57,37588.0,998.0
AN,58,19345.0,2729.0
AN,59,7206.0,1791.0
AN,60,3637.0,2441.0
AN,61,2419.0,1601.0
AN,62,3547.0,26.0
AN,63,4712.0,10.0
AN,64,3654.0,57.0
AN,65,3737.0,129.0
AN,66,5493.0,154.0
AN,67,22128.0,795.0
AN,68,16001.0,8472.0
AN,69,6766.0,31714.0
AN,70,14577.0,20711.0
AN,71,12045.0,9279.0
AN,72,14701.0,5073.0
AN,73,7602.0,2699.0
AN,74,17688.0,3038.0
AP,1,0.0,0.0
AP,2,0.0,0.0
AP,3,0.0,0.0
